Plik,Klasa,VSTD,VDR,VU,LSTER,Entropy,ZSTD,HZCRR
uwo_1.wav,MOWA,0.3487,0.9965,15007.06,0.5676,4.11,0.0551,0.1892
uwo_2.wav,MOWA,0.34,0.9964,12314.94,0.4667,3.99,0.0487,0.1667
zdanie_ala_1.wav,MOWA,0.2893,0.9983,105923.26,0.5,5.78,0.0288,0.1923
zdanie_ala_2.wav,MOWA,0.2907,0.9992,155234.05,0.5581,5.24,0.024,0.1512
zdanie_dlaczego_1.wav,MOWA,0.2325,0.9983,126530.04,0.5882,6.02,0.1023,0.1691
zdanie_dlaczego_2.wav,MOWA,0.162,0.9955,158972.71,0.6412,5.32,0.0853,0.1298
zero_1.wav,MOWA,0.3539,0.9808,21346.87,0.4615,3.93,0.1057,0.1923
zero_2.wav,MOWA,0.3654,0.9868,11803.1,0.5,3.94,0.0442,0.1333
zid_1.wav,MOWA,0.2969,0.9968,11624.39,0.6562,3.36,0.1862,0.2188
zid_2.wav,MOWA,0.3225,0.9924,10189.32,0.5312,3.92,0.1046,0.1562
akord_C.wav,INSTRUMENT,0.1946,0.9985,39291.47,0.7838,4.86,0.0372,0.173
akord_D.wav,INSTRUMENT,0.1307,0.9985,44273.32,0.7073,4.48,0.034,0.1707
akord_e.wav,INSTRUMENT,0.2112,0.998,37800.15,0.7391,5.22,0.0319,0.1925
akord_F.wav,INSTRUMENT,0.2057,0.9972,23684.66,0.8235,4.59,0.0342,0.1699
alikwot_0.wav,INSTRUMENT,0.2092,0.9981,38048.09,0.5844,5.94,0.0186,0.0844
alikwot_1.wav,INSTRUMENT,0.1951,0.9955,23324.48,0.5149,6.05,0.0128,0.1493
alikwot_2.wav,INSTRUMENT,0.1294,0.9967,17237.33,0.8281,3.71,0.012,0.0938
alikwot_3.wav,INSTRUMENT,0.1245,0.9955,13026.05,0.6943,4.38,0.0216,0.1083
alikwot_4.wav,INSTRUMENT,0.0979,0.9978,19106.19,0.9202,2.41,0.0347,0.1702
alikwot_5.wav,INSTRUMENT,0.0921,0.9952,15891.72,0.912,2.85,0.0316,0.1806
flazolet_1.wav,INSTRUMENT,0.3716,0.9982,63770.7,0.3434,6.0,0.0364,0.0505
flazolet_2.wav,INSTRUMENT,0.272,0.9986,57129.08,0.3333,5.95,0.032,0.0093
flazolet_3.wav,INSTRUMENT,0.424,0.9985,34762.71,0.4625,5.43,0.0371,0.025
flazolet_4.wav,INSTRUMENT,0.3973,0.9985,48504.74,0.396,5.94,0.0405,0.0297
flet_1.wav,INSTRUMENT,0.3601,0.9966,21996.74,0.3398,6.06,0.0185,0.0
flet_2.wav,INSTRUMENT,0.4071,0.9924,9491.25,0.2778,6.29,0.0312,0.0
flet_3.wav,INSTRUMENT,0.3854,0.9979,30082.91,0.4727,5.87,0.0799,0.0545
flet_4.wav,INSTRUMENT,0.4132,0.9954,11410.97,0.5146,5.73,0.03,0.068
gitara_a.wav,INSTRUMENT,0.175,0.9985,50271.08,0.6562,5.15,0.0113,0.0938
gitara_b.wav,INSTRUMENT,0.1651,0.998,22568.32,0.7717,5.38,0.0159,0.0315
gitara_d.wav,INSTRUMENT,0.2079,0.9978,39689.01,0.5197,6.28,0.013,0.0921
gitara_e-2.wav,INSTRUMENT,0.1662,0.9877,11616.41,0.5915,5.96,0.0102,0.1056
gitara_E.wav,INSTRUMENT,0.214,0.9972,48333.04,0.5822,5.93,0.0113,0.0753
gitara_g.wav,INSTRUMENT,0.228,0.997,22582.35,0.6794,5.36,0.0117,0.0611
smyczek.wav,INSTRUMENT,0.1558,0.9848,35824.88,0.2101,9.01,0.0339,0.1027
